Practice,Ported numbers,Status
CareRevenue- 8*8 numbers -26,"4076754660

4075444317
4075444331
4074873562
4073378271
4076754659
4075538084
4074873610
4075596073
4075538105
4076050356
4075440943
4075440947
4075440949
4075376680
2062060513
2062609821
4075538997
4075440932
2064155264
4076050354
2064155271
2064155277
2064155288
4075440995
2068215650",Completed
,,
Omira Dental,"Main Phone Number: (919) 584-5184
Fax Number: (919) 751-6976",Completed
Endo Care Dental Specialists,"(203) 208-4406",Completed
WESTWIND -5,"(480) 741-1396
(480) 777-0956
(480) 831-8022
(520) 641-2252
(602) 698-6836
",Completed
 Happy Smiles at Columbia,"7176844666
7176842491",Port Scheduled
The Oral Surgery Center,"(336) 282 7475
(336)282 7929
(336)282 7944
(336)763 0957
(336)763 4939
(336)907 3578
(336)907 4597",Port Scheduled
The Center for Contemporary Dentistry,"707 448 9211
707 448 9267
707 448 7328
707 448 8824
707 448 0244",Submitted to carrier
"Bay Oral Surgery","(850)277 0390 
(850)271 0890 
(850)271 3001 
(850)271 3008
8502718001",Port Scheduled
GENESIS by Dr. Ben Reyhani,"310-388-3404
310-361-2262",Submitted to carrier
South Bay Dental Smiles,"3107920049
3103751003",Submitted to carrier
19th Street Dental,"
Main Phone Number:  4702042049 4045678900 4047892611 4046882711 4045932874 4045932873
Fax Number: 404-567-8901 ",Submitted to carrier
